iter	Passed	Remaining
0	144	144548
1	145	72601
2	146	48730
3	147	36793
4	148	29530
5	148	24681
6	150	21313
7	151	18770
8	152	16757
9	153	15148
10	154	13855
11	155	12798
12	156	11894
13	158	11139
14	158	10440
15	160	9859
16	161	9350
17	163	8898
18	164	8491
19	165	8123
20	167	7791
21	169	7522
22	170	7245
23	172	6997
24	173	6756
25	174	6528
26	175	6317
27	176	6119
28	177	5938
29	178	5771
30	179	5613
31	180	5461
32	181	5321
33	182	5191
34	183	5065
35	184	4942
36	185	4822
37	186	4715
38	187	4609
39	187	4509
40	188	4414
41	189	4316
42	189	4226
43	190	4143
44	191	4066
45	192	3989
46	193	3918
47	194	3850
48	195	3786
49	195	3721
50	196	3657
51	197	3595
52	197	3536
53	198	3480
54	199	3424
55	200	3371
56	200	3319
57	201	3269
58	201	3220
59	202	3172
60	203	3127
61	203	3082
62	204	3038
63	204	2997
64	205	2958
65	206	2919
66	206	2879
67	207	2844
68	208	2809
69	208	2773
70	209	2740
71	209	2706
72	210	2674
73	211	2642
74	211	2611
75	212	2581
76	212	2552
77	213	2523
78	214	2495
79	214	2467
80	215	2442
81	215	2417
82	216	2388
83	216	2364
84	217	2339
85	217	2315
86	218	2292
87	218	2269
88	219	2246
89	219	2224
90	220	2202
91	221	2182
92	221	2161
93	222	2141
94	222	2121
95	223	2102
96	223	2083
97	224	2065
98	224	2046
99	225	2028
100	225	2011
101	226	1994
102	227	1978
103	227	1962
104	228	1946
105	228	1930
106	229	1915
107	230	1899
108	230	1885
109	231	1870
110	231	1856
111	232	1842
112	232	1828
113	233	1814
114	234	1801
115	234	1787
116	235	1773
117	235	1760
118	236	1748
119	236	1735
120	237	1723
121	237	1711
122	238	1699
123	238	1687
124	239	1676
125	240	1665
126	240	1653
127	241	1641
128	241	1631
129	242	1621
130	242	1609
131	243	1599
132	243	1588
133	244	1578
134	244	1568
135	245	1558
136	245	1549
137	246	1539
138	246	1529
139	247	1520
140	248	1511
141	248	1501
142	249	1492
143	249	1483
144	250	1474
145	250	1465
146	251	1457
147	251	1449
148	252	1440
149	252	1432
150	253	1424
151	253	1416
152	254	1409
153	255	1401
154	255	1394
155	256	1386
156	256	1379
157	257	1371
158	257	1364
159	258	1356
160	258	1348
161	259	1341
162	259	1334
163	260	1328
164	261	1321
165	261	1314
166	262	1307
167	262	1300
168	263	1294
169	263	1287
170	264	1281
171	264	1274
172	265	1268
173	265	1261
174	266	1255
175	266	1249
176	267	1243
177	268	1237
178	268	1232
179	269	1226
180	269	1220
181	270	1215
182	270	1209
183	271	1203
184	271	1197
185	272	1192
186	273	1187
187	273	1182
188	274	1176
189	274	1171
190	275	1166
191	275	1161
192	276	1156
193	277	1151
194	277	1146
195	278	1140
196	278	1135
197	279	1130
198	279	1125
199	280	1121
200	280	1116
201	281	1111
202	281	1107
203	282	1102
204	283	1097
205	283	1093
206	284	1089
207	284	1085
208	285	1080
209	286	1076
210	286	1071
211	287	1067
212	287	1062
213	288	1058
214	288	1054
215	289	1050
216	289	1046
217	290	1041
218	290	1037
219	291	1033
220	292	1030
221	292	1026
222	293	1022
223	293	1018
224	294	1014
225	295	1010
226	295	1006
227	296	1003
228	296	999
229	297	995
230	297	991
231	298	988
232	299	984
233	299	981
234	300	977
235	300	973
